CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE
825;26;261160;US_155_CS_PROF_MONTEIRO_DE_MORAIS;AV_BEBERIBE;BEBERIBE;-8,00405;-34,89683
868;26;261160;US_142_CS_BIDU_KRAUSE;AV_ONZE_DE_AGOSTO;CURADO;-8,054;-34,881
876;26;261160;US_138_USF_DR_LUIZ_WILSOM;RUA_CHA_DE_ALEGRIA;BOMBA_DO_HEMETERIO;-8,02078;-34,90473
957;26;261160;US_174_USF_SITIO_GRANDE;AV_LUXEMBURGO;IMBIRIBEIRA;-8,10258;-34,91197
965;26;261160;US_177_USF_CHICO_MENDES;RUA_DO_CAMPO;AREIAS;-8,21351;-35,22553
1058;26;261160;US_121_CS_PROF_BRUNO_MAIA;RUA_ALTO_DO_REFUGIO;NOVA_DESCOBERTA;-8,054;-34,881
1082;26;261160;US_104_CS_SEBASTIAO_IVO_RABELO;AV_CAMPINA_GRANDE;COHAB;-8,11963;-34,94724
1090;26;261160;US_126_CS_VER_ROMILDO_GOMES;RUA_JALISCO;IMBIRIBEIRA;-8,11638;-34,91198
1112;26;261160;US_186_USF_JARDIM_UCHOA;RUA_JUPIRACY;AREIAS;-8,054;-34,881
1163;26;261160;US_109_CS_FRANCISCO_PIGNATARI;ESTRADA_DO_ARRAIAL;CASA_AMARELA;-8,03011;-34,90707
1201;29;293135;PSF_RESIDENCIAL_CASTELINHO;RUA;RESIDENCIAL_CASTELIN;-17,55324;-39,71757
1236;26;261160;US_152_CS_INA_ROSA_BORGES;RUA_SENADOR_MILTON_CAMPOS;VASCO_DA_GAMA;-8,054;-34,881
1244;26;261160;US_175_USF_DR_DIOGENES_CAVALCANTI;RUA_ALTO_DA_BRASILEIRA;NOVA_DESCOBERTA;-8,00051;-34,93226
1252;26;261160;US_218_USF_COQUE;RUA_GUAPIRAMA;ILHA_JOANA_BEZERRA;-8,054;-34,881
1317;26;261160;US_120_CS_MARIO_MONTEIRO_MELO;RUA_NOVA_DESCOBERTA;NOVA_DESCOBERTA;-8,00111;-34,92354
1368;26;261160;US_158_CS_PAM_CEASA;RODOVIA_BR_101SUL;CURADO;-8,054;-34,881
1392;26;261160;US_148_CS_DOM_MIGUEL_DE_LIMA_VALVERDE;RUA_FELICIANO_JOSE_DE_FARIAS;BOA_VIAGEM;-8,054;-34,881
1414;26;261160;US_117_CS_GASPAR_REGUEIRA_COSTA;RUA_PADRE_DIOGO_RODRIGUES;BARRO;-8,08828;-34,93816
23124;31;310620;CENTRO_DE_SAUDE_MARIVANDA_BALEEIRO;RUA_TRES_MIL_E_SETENTA_E_QUATRO;PAULO_VI;-19,84142;-43,89355
1503;26;261160;US_179_USF_ALTO_DO_CEU;RUA_CAPITAO_SALGUEIRO;PORTO_DA_MADEIRA;-8,054;-34,881
1511;26;261160;US_184_USF_VILA_UNIAO;RUA_NOVA_ALIANCA;IPUTINGA;-8,03057;-34,93427
1759;26;261160;US_103_CS_PROF_MARIO_RAMOS;RUA_OSCAR_DE_BARROS;CASA_AMARELA;-8,02266;-34,91622
1813;26;261160;US_112_CS_DR_JOSE_DUSTAN_CARVALHO_SOARES;AV_MAURICIO_DE_NASSAU;IPUTINGA;-8,04033;-34,92774
2046;26;261160;US_168_CTA_CENTRO_DE_TESTAGEM_E_ACONSELHAMENTO;LARGO_DA_SANTA_CRUZ;BOA_VISTA;-8,06237;-34,89017
2062;26;261160;US_172_USF_TRES_CARNEIROS;RUA_IBITIARA;COHAB;-8,12536;-34,95822
2070;26;261160;US_173_USF_DANCING_DAYS;RUA_DANCING_DAYS;IMBIRIBEIRA;-8,10387;-34,9203
2097;26;261160;US_183_USF_SITIO_DOS_MACACOS;ESTRADA_DOS_MACACOS;GUABIRABA;-8,054;-34,881
2100;26;261160;US_187_USF_ILHA_DE_DEUS;RUA_SAO_JOSE;IMBIRIBEIRA;-8,21685;-35,23093
2135;26;261160;US_221_USF_ILHA_DE_JOANEIRO;RUA_MARECHAL_DEODORO;CAMPO_GRANDE;-8,03565;-34,88273
2143;26;261160;US_123_CS_PROF_CESAR_MONTEZUMA;CAIS_DO_APOLO;RECIFE;-8,05591;-34,87207
2216;28;280030;US_OSVALDO_LEITE_TERRA_DURA;AV_AZUL;SANTA_MARIA;-10,911;-37,072
9407;35;354990;UBS_ALTO_DA_PONTE;RUA_ALZIRO_LEBRAO;ALTO_DA_PONTE;-23,15332;-45,90134
2615304;32;320495;UNIDADE_DE_SAUDE_DE_SAO_JACINTO;RUA_SEVERINO_SIMONASSI;SAO_JACINTO;-19,71756;-40,61076
2542;28;280030;US_JOAO_CARDOSO_NASCIMENTO_JUNIOR_JOSE_CONRADO_DE_ARAUJO;RUA_ALAGOAS;JOSE_CONRADO_DE_ARAU;-10,90502;-37,08508
2550;28;280030;US_ELIZABETE_PITA_TERRA_DURA;RUA_B;TERRA_DURA;-10,80342;-36,91414
2615312;32;320495;UNIDADE_DE_SAUDE_DE_SANTA_JULIA;RUA_PROJETADA;AGROVILA;-19,67839;-40,69757
2844;28;280030;US_ONESIMO_PINTO_FILHO_JARDIM_CENTENARIO;AVENIDA_RADIALISTA_JOSE_DA_SILVA_LIMA;JARDIM_CENTENARIO;-10,911;-37,072
3387;28;280030;US_RENATO_MAZZE_LUCAS_LAMARAO;RUA_CAPITAO_MANOEL_GOMES;SANTOS_DUMONT;-10,89949;-37,08477
3395;28;280030;US_CARLOS_HARDMAN_CORTES_SOLEDADE;AVENIDA_CARLOS_MARQUES;SOLEDADE;-10,88026;-37,08732
3047776;23;231135;UNIDADE_BASICA_DE_SAUDE_VITORIA_PEREIRA_DA_SILVA;SITIO_BOTAO;ZONA_RURAL;-6,27878;-39,20845
182036;21;210200;CENTRO_DE_ATENCAO_MUNICIPAL_COVID_19_BOM_JARDIM_MA;SAO_LUIS;CENTRO;-3,54747;-45,60981
3999;29;292740;UBS_MARIA_DA_CONCEICAO_SANTIAGO_IMBASSAY;RUA_MARQUES_DE_MARICA;PAU_MIUDO;-12,95903;-38,48725
4014;29;292740;USF_PROFESSOR_SABINO_SILVA;RUA_REINALDO_DE_MATOS;NORDESTE_AMARALINA;-13,00949;-38,47217
4022;29;292740;USF_PROF_EDUARDO_MAMEDE;SETOR_E_CAMINHO_16;MUSSURUNGA_I;-12,92003;-38,3664
4030;29;292740;UBS_RODRIGO_ARGOLO;RUA_PERNAMBUCO;TANCREDO_NEVES;-12,94614;-38,44654
4111;29;292740;UBS_SETE_DE_ABRIL;RUA_DA_FELICIA;SETE_DE_ABRIL;-12,971;-38,511
4243;29;292740;UBS_CASTELO_BRANCO;RUA_A_3_ETAPA;CASTELO_BRANCO;-12,971;-38,511
4332;29;292740;UBS_PIRES_DA_VEIGA;RUA_JAIME_VIEIRA_LIMA;PAU_DA_LIMA;-12,971;-38,511
4359;29;292740;UBS_OSVALDO_CALDAS_CAMPOS_SANTA_CRUZ;RUA_DR_ARMANDO_COLAVOLPE;SANTA_CRUZ;-13,00182;-38,47503
4383;29;292740;UBS_19_CENTRO_DE_SAUDE_PELOURINHO;AVENIDA_JJ_SEABRA;BAIXA_DOS_SAPATEIROS;-12,97394;-38,51009
4413;29;292740;UBS_DE_MATA_ESCURA;RUA_JARDIM_PAMPULHA;MATA_ESCURA;-12,93845;-38,46092
4448;29;292740;UBS_DO_CSU_PERNAMBUES;RUA_TOMAZ_GONZAGA;PERNAMBUES;-12,96639;-38,46495
4561;29;292740;USF_IVONE_SILVEIRA_CALABAR;RUA_MARIA_PINHO;CALABAR;-13,00051;-38,51521
4618;29;292740;USF_CAJAZEIRAS_X;RUA_MINISTRO_APOLONIO_SALES_RUA_D_QUADRA_D_SETOR_2;CAJAZEIRAS_X;-12,8925;-38,41056
4758;29;292740;UBS_DRA_CECY_DE_ANDRADE;RUA_GENARO_DE_CARVALHO;CASTELO_BRANCO;-12,971;-38,511
4766;29;292740;UBS_DR_CESAR_DE_ARAUJO;RUA_MANOEL_QUARESMA;BOCA_DO_RIO;-12,97907;-38,43297
4804;29;292740;UBS_DR_ORLANDO_IMBASSAHY;RUA_TANCREDO_NEVES;BAIRRO_DA_PAZ;-12,93477;-38,38081
4839;29;292740;UBS_PROF_JOSE_MARIANE;AV_DORIVAL_CAYME;ITAPOAN;-12,93613;-38,35991
8281;35;353440;UBS_MARIA_PIA_DE_OLIVEIRA;RUA_SATURNO;JAD_MAURINOPOLIS;-23,56116;-46,79795
5193;29;292740;USF_URSULA_CATHARINO_GARCIA;RUA_QUINTINO_BOCAIUVA;GARCIA;-12,99057;-38,50862
5207;29;292740;USF_DOM_AVELAR;RUA_DAS_PAULINAS;DOM_AVELAR;-12,971;-38,511
5223;29;292740;UBS_EUNISIO_COELHO_TEIXEIRA;RUA_JURUCUTUS;SABOEIRO;-12,96046;-38,44786
5231;29;292740;USF_DEP_CRISTOVAO_FERREIRA_SARAMANDAIA;RUA_DA_HORTA;SARAMANDAIA;-12,97395;-38,46769
5266;29;292740;USF_PARQUE_DE_PITUACU;RUA_ARAUJO_BASTOS;PITUACU;-12,96857;-38,41644
5282;29;292740;USF_CAJAZEIRAS_IV;RUA_ALVARO_DA_FRANCA_ROCHA_CONJ_CAJAZEIRAS_IV;CAJAZEIRAS;-12,89705;-38,42552
5347;29;292740;USF_ALTO_DO_COQUEIRINHO;PRACA_SERGIO_BRITO;ALTO_COQUEIRINHO;-12,93789;-38,3736
6416;29;292740;UBS_ARENOSO;RUA_DIRETA_DO_ARENOSO;ARENOSO;-12,95115;-38,43941
6769;29;292740;USF_ALTO_DE_COUTOS;TRAVESSA_DOIS_DE_JULHO;ALTO_DE_COUTOS;-12,53426;-38,30023
6777;29;292740;USF_JAQUEIRA_DO_CARNEIRO;RUA_JAQUEIRA_DO_CARNEIRO;FAZENDA_GRANDE_DO_RE;-12,94862;-38,47384
6785;29;292740;UBS_MARECHAL_RONDON;RUA_VICENTE_CELESTINO_PRACA_MARECHAL_RONDON;MARECHAL_RONDON;-12,91518;-38,4706
6793;29;292740;USF_NOSSA_SENHORA_DE_GUADALUPE_ALTO_DO_PERU;2_TRAVESSA_DO_ORIENTE;ALTO_DO_PERU;-12,93778;-38,48566
6815;29;292740;UBS_SAO_GONCALO;AVENIDA_CARDEAL_DA_SILVA;FEDERACAO;-13,00186;-38,5016
6858;29;292740;USF_FIAIS;RUA_VOLUNTARIOS_DA_PATRIA;SANTA_LUZIA_DO_LOBAT;-12,93273;-38,48848
6866;29;292740;USF_DO_ALTO_DAS_POMBAS;RUA_NOSSA_SENHORA_DE_FATIMA;FEDERACAO;-13,00113;-38,51379
6890;29;292740;USF_DE_BARREIRAS;RUA_FERNANDO_PEDREIRA;BARREIRAS;-12,94347;-38,45716
6912;29;292740;UBS_DE_CALABETAO;RUA_CLERISTON_ANDRADE;CALABETAO;-12,93116;-38,46618
6955;29;292740;USF_DE_BEIRA_MANGUE;AV_AFRANIO_PEIXOTO;SAO_BARTOLOMEU;-12,92291;-38,48234
6963;29;292740;USF_ILHA_AMARELA;RUA_BOA_ESPERANCA;ILHA_AMARELA;-12,9383;-38,48544
6971;29;292740;USF_ALTO_DO_CRUZEIRO;RUA_CAMPO_DA_BOLA;ALTO_DO_CRUZEIRO;-12,98076;-38,48868
6998;29;292740;UBS_DE_ENGOMADEIRA;RUA_DIRETA_DA_ENGOMADEIRA;ENGOMADEIRA;-12,95;-38,46044
7021;29;292740;UBS_NELSON_PIAUHY_DOURADO;RUA_ENDEO_NASCIMENTO;AGUAS_CLARAS;-12,88626;-38,43112
639;26;261160;US_106_CS_PROF_JOAQUIM_CAVALCANTE;ESTRADA_DO_FORTE_DO_ARRAIAL_NOVO_DO_BOM_JESUS;TORROES;-8,05296;-34,92863
7676;15;150240;FUNASA_CENTRO_DE_SAUDE_DE_CASTANHAL;RUA_SENADOR_ANTONIO_LEMOS;CENTRO;-1,29505;-47,92447
2291;28;280030;US_GERALDO_MAGELA_DE_MENEZES_SAO_CONRADO;CENTRAL_IV;SAO_CONRADO;-10,97035;-37,09019
7722;15;150240;USF_MARIA_TEREZA_GODOT_DA_SILVA;RUA_AUGUSTO_MONTENEGRO;APEU;-1,297;-47,922
7730;15;150240;USF_CASTELO_BRANCO;AGROVILA_DE_CASTELO_BRANCO;AGROVILA_C_BRANCO;-1,36414;-47,7381
7749;15;150240;USF_RAIMUNDO_BRILHANTE_CUNHA;AGROVILA_SANTA_TEREZINHA;AGROVILA_STEREZINHA;-1,20024;-48,02546
7757;15;150240;USF_BACABAL;AGROVILA_BACABAL;AGROVILA_BACABAL;-1,297;-47,922
7765;15;150240;USF_FRANCISCO_CORREA;AGROVILA_FRANCISCO_CORREA;AGROVILA_F_CORREA;-1,297;-47,922
7773;15;150240;USF_JOAO_MARINALDO_A_VIANA;TV_DA_FLORESTA;SAUDADE;-1,31027;-47,93903
7781;15;150240;USF_JOSE_OLIMPIO_DE_BRITO;RUA_MARIA_GORETH;IANETAMA;-1,28899;-47,91216
7811;15;150240;USF_MACAPAZINHO;AGROVILA_MACAPAZINHO;AGROVILA_MACAPAZINHO;-1,297;-47,922
7846;15;150240;USF_SARAH_MARTINS;AV_BARAO_DO_RIO_BRANCO;APEU;-1,2995;-47,98777
7889;15;150240;USF_ZIULALIA_LEAO_LUNA;AL_DAS_ACACIAS;PROPIRA;-1,26988;-47,91315
7919;15;150240;USF_CALUCIA;AGROVILA_CALUCIA;AGROVILA_CALUCIA;-1,22955;-47,87308
7986;15;150240;USF_3_DE_OUTUBRO;AGROVILA_3_DE_OUTUBRO;AGROVILA_3DE_OUTUBRO;-1,297;-47,922
7978;15;150240;POSTO_DE_SAUDE_MARIO_NASCIMENTO_VENTURA;AGROVILA_PACUQUARA;AGROVILA_PAUQUARA;-1,297;-47,922
8095;35;353440;UBS_DARCY_ALVES_E_ROBALINHO;AVENIDA_SAO_JOSE;VIL_SAO_JOSE;-23,51367;-46,76427
8109;35;353440;UBS_SYLVIO_JOAO_L_DE_LUCIA;RUA_JOAO_FLORENCIO_FONTES;JARDIM_ELVIRA;-23,5331;-46,79206
8117;35;353440;UBS_MARIA_GIRADE_CURY;RUA_THEOFILO_MUNHOZ_VAQUEIRO;JD_NOVO_OSASCO;;
8125;35;353440;UBS_LUCIANO_RODRIGUES_COSTA;PRACA_MARIA_JOSE_DA_SILVEIRA;JAD_ROBERTO;-23,533;-46,792
8133;35;353440;UBS_VILA_MENCK;R_RIBEIRAO_PIRES;VIL_MENCK;-23,53869;-46,84448
8168;35;353440;UBS_MARIA_GATTI_GIGLIO;AV_DAS_FLORES;JD_DAS_FLORES;-23,53695;-46,79405
8176;35;353440;UBS_NEYDE_ALVES_DA_SILVA;RUA_AMEIXEIRA;CIDADE_DAS_FLORES;-23,53188;-46,80686
8206;35;353440;UBS_SANTA_MARIA_GORETTI;AV_ANALICE_SAKATAUSKAS;VIL_ALIANCA;-23,55234;-46,77961
8214;35;353440;UBS_JOSE_HILARIO_DOS_SANTOS;RUA_AMADOR_BUENO;JD_PIRATININGA;-23,51845;-46,79453
8222;35;353440;UBS_VASCO_DA_ROCHA_LEAO;RUA_JOSE_PATROCINIO;JAD_VELOSO;-23,53305;-46,79174
8230;35;353440;UBS_GETULINO_JOSE_DIAS;RUA_JOANA_PEREIRA_DIAS;PADROEIRA_II;-23,55767;-46,81105
8249;35;353440;UBS_ANUNCIATA_DE_LUCIA;RUA_SAO_JORGE;VIL_ISABEL;-23,53583;-46,80385
8257;35;353440;UBS_OTACILIO_FIRMINO_LOPES;RUA_GRANADA;VIL_NOVA_AYROSA;-23,5073;-46,7668
8265;35;353440;UBS_FRANCISCA_LIMA_DE_LIRA;RUA_JUSCELINO_KUBITSCHEK_DE_OLIVEIRA;PORTAL_DOESTE;-23,49213;-46,79167
8273;35;353440;UBS_PE_GUERRINO_RICIOTTI;RUA_SANTO_UBALDO;VIL_DOS_REMEDIOS;-23,318;-46,4521
8303;35;353440;UBS_JOSE_FRANCISCO_REZENDE;RUA_CONCEICAO_SIGLIANO;VIL_YOLANDA;-23,52893;-46,79596
8311;35;353440;UBS_SANTA_GEMA_GALGANI;RUA_JOSE_ALBINO_FREIXEDA;PRES_ALTINO;-23,52777;-46,76646
8346;35;353440;UBS_FRANCISCO_DIAS_DA_SILVA;RUA_MAL_EDGAR_DE_OLIVEIRA;VIL_QUITAUNA;-23,53305;-46,79223
8362;35;353440;UBS_RAIMUNDA_CAVALCANTE_DE_SOUZA;RUA_PRF_ADELAIDE_ESCOBAR_BUENO;MUNHOZ_JR;-23,53297;-46,79199
8370;35;353440;UBS_JOSE_SABINO_FERREIRA;RUA_LUIS_GATTI;JD_BARONESA;-23,49731;-46,78573
8397;35;353440;UBS_ODUVALDO_MAGLIO;RUA_ANSELMO_PEDRO_DE_MEDEIROS;CAMPESINA;-23,54493;-46,76346
8400;35;353440;UBS_DR_ADAUTO_RIBEIRO;RUA_SERRA_DO_RONCADOR;JAD_TRES_MONTANHAS;-23,4797;-46,78318
8419;35;353440;UBS_LIA_BUARQUE_DE_MACEDO_GASPARINI;AVENIDA_CLOVIS_ASSAF;VILA_DA_CONQUISTA;-23,58021;-46,80317
8524;35;354780;UBS_PARANAPIACABA;AVENIDA_FFORD;PARANAPIACABA;-23,664;-46,538
2160846;31;310390;CEMADI_CENTRO_MUNICIPAL_DE_ATENDIMENTO_E_DIAG_ARAUJOS;RUA_JUIZ_DE_FORA;CENTRO;-19,206;-45,341
8575;35;354780;UBS_VILA_LINDA;RUA_INGA;VILA_LINDA;-23,69219;-46,52022
8583;35;354780;UBS_VILA_LUCINDA;RUA_CACONDE;VILA_LUCINDA;-23,62524;-46,5155
8591;35;354780;UBS_CAMPESTRE;RUA_DAS_FIGUEIRAS;CAMPESTRE;-23,64389;-46,54795
8621;35;354780;UBS_PARQUE_DAS_NACOES;PRACA_WALDEMAR_SOARES;PARQUE_DAS_NACOES;-23,63897;-46,51872
2491109;42;420380;UNIDADE_BASICA_DE_SAUDE_FELIPE_SCHMIDT;RUA_DA_COOPERATIVA;INTERIOR;-26,177;-50,39
8672;35;354780;UBS_PARQUE_JOAO_RAMALHO;RUA_MARAGOGIPE;PARQUE_JOAO_RAMALHO;-23,64631;-46,50953
2491117;42;420380;UNIDADE_BASICA_DE_SAUDE_PAULA_PEREIRA;RUA_GERAL_DE_PAULA_PEREIRA;INTERIOR;-26,177;-50,39
2491125;42;420380;UNIDADE_BASICA_DE_SAUDE_FARTURA;ESTRADA_GERAL_FARTURA;INTERIOR;-26,177;-50,39
2491133;42;420380;UNIDADE_BASICA_DE_SAUDE_ARROIOS;LOC_ARROIOS;INTERIOR;-26,177;-50,39
2491168;42;420380;UNIDADE_BASICA_DE_SAUDE_BARRA_MANSA;LOC_BARRA_MANSA;AREA_RURAL;-26,177;-50,39
2491192;42;420380;UNIDADE_BASICA_DE_SAUDE_PINHEIROS;LOCALIDADE_DE_RIO_DOS_PARDOS;RIO_DOS_PARDOS;-26,177;-50,39
2491230;42;420380;UNIDADE_BASICA_DE_SAUDE_PACIENCIA_DOS_NEVES;LOCALIDADE_DE_PACIENCIA_DOS_NEVES;PACIENCIA_DOS_NEVES;-26,177;-50,39
2527510;23;230810;UBS_ELIAS_PIMENTA_DE_SOUSA;RUA_GABRIEL_IZIDRO;DISTRITO_PALESTINA;-7,389;-38,774
2527537;23;230810;UBS_DR_JOSE_LEITE_MARANHAO;AVENIDA_BRASIL;COITE;-7,389;-38,774
2527545;23;230810;UBS_PARTEIRA_MARIA_DAS_DORES_DE_SOUSA;RUA_MANOEL_ROSENO;DISTRITO_ANAUA;-7,389;-38,774
8931;35;354780;UBS_JARDIM_ITAPOAN_ANA_MARIA;RUA_OTAVIO_MANGABEIRA;JARDIM_ANA_MARIA;-23,62982;-46,49102
8958;35;354780;UBS_CENTRO;RUA_CAMPOS_SALES;CENTRO;-23,6583;-46,52403
9032;35;354990;UBS_COLONIAL;RUA_JOSE_RIBEIRO_BASTOS;COLONIAL;-23,179;-45,887
9040;35;354990;UBS_NOVO_HORIZONTE;AVENIDA_TANCREDO_NEVES;PQ_NOVO_HORIZONTE;-23,179;-45,887
9059;35;354990;UBS_VILA_TESOURO;PRACA_ASSIS_CHATEAUBRIAND;VILA_TESOURO;-23,179;-45,887
9067;35;354990;UBS_BUQUIRINHA;RUA_JOSE_MENDONCA_DA_COSTA;BUQUIRINHA;-23,179;-45,887
9075;35;354990;UBS_CHACARAS_REUNIDAS;PRACA_CARIRI;CHACARAS_REUNIDAS;-23,179;-45,887
1694;26;261160;NEFROCLINICA_LTDA;RUA_ESTADO_DE_ISRAEL;ILHA_DO_LEITE;-8,06268;-34,89315
9156;35;354990;UBS_VILA_NAIR;RUA_SUECIA;VILA_LETONIA;-23,2112;-45,88548
9180;35;354990;UBS_BONSUCESSO;ESTRADA_DO_BONSUCESSO;BONSUCESSO;-23,179;-45,887
9199;35;354990;UBS_JARDIM_NOVA_DETROIT;RUA_JOSE_PEDRO;JARDIM_NOVA_DETROIT;-23,16943;-45,81389
9229;35;354990;UBS_JARDIM_ORIENTE;RUA_SENJU_OTA;JARDIM_ORIENTE;-23,179;-45,887
9377;35;354990;UBS_VILA_INDUSTRIAL_E_TATETUBA;RUA_MIZAEL_MARCAL;VILA_TATETUBA;-23,179;-45,887
9466;35;354990;UBS_PARAISO_DO_SOL;RUA_DR_JOAO_GOMES_BATISTA_NETO;PARAISO_DO_SOL;-23,179;-45,887
9474;35;354990;UBS_PARQUE_INTERLAGOS;RUA_IBIRAJARA_RAIMUNDO_DE_SOUZA;PARQUE_INTERLAGOS;-23,179;-45,887
9504;35;354990;UBS_SAO_JUDAS_TADEU;AVENIDA_SAO_NICOLAU;SAO_JUDAS_TADEU;-23,179;-45,887
26204;26;261160;US_256_USF_PASSARINHO_BAIXO;RUA_CANARIO;PASSARINHO;-7,97964;-34,91732
3015319;35;350660;AMBULATORIO_DE_ATENCAO_BIOPSICOSSOCIAL_DE_BIRITIBA_MIRIM;R_AIRTON_SENA_DA_SILVA;JARDIM_ALVORADA_A;-23,57325;-46,03755
10146;50;500270;SESAU_USF_DR_ADEMAR_GUEDES_DE_SOUZA_MATA_DO_JACINTO;RUA_WILSON_MANGINI_MARQUES;MATA_DO_JACINTO;-20,42457;-54,56931
10154;50;500270;SESAU_UBS_DR_ASTROGILDO_CARMONA_CARLOTA;RUA_SAO_COSME_E_DAMIAO_S_N;JARDIM_PAULISTA;-20,49047;-54,60501
10162;50;500270;SESAU_UBS_DR_IVAN_HIDELBRAND_DA_COSTA_BURITI;RUA_JOSE_SOARES_DE_ARAUJO;BURITI;-20,49071;-54,67119
10170;50;500270;SESAU_UBS_DR_VESPASIANO_BARBOSA_MARTINS_VILA_POPULAR;RUA_DALILA_SIQUEIRA;VILA_POPULAR;-20,45282;-54,70452
10189;50;500270;SESAU_UBS_DR_NICOLAU_FRAGELLI_LAR_DO_TRABALHADOR;RUA_DOS_NARCISOS;LAR_DO_TRABALHADOR;-20,45192;-54,64448
10197;50;500270;SESAU_USF_DR_SUMIE_IKEDA_RODRIGUES_SERRADINHO;RUA_DELMIRO_GOUVEIA;VILA_SERRADINHO;-20,45873;-54,68441
10200;50;500270;SESAU_USF_DR_HIROSE_ADANIA_BONANCA;RUA_JARDIM_SANTO_INACIO;BONANCA;-20,49342;-54,66122
10219;50;500270;SESAU_USF_MANOEL_SECCO_THOME_INDUBRASIL;RUA_JI_PARANA;INDUSTRIAL;-20,46402;-54,61629
10235;50;500270;SESAU_USF_DR_MILTON_KOJO_CHINEN_VILA_NASSER;RUA_ANTONIO_DE_MORAES_RIBEIRO;VILA_NASSER;-20,41635;-54,63155
43737;35;351100;PROJETO_JUPIA;LINHA_JUPIA;REASSENTAMENTO_PROJE;-20,872;-51,488
10286;50;500270;SESAU_USF_DR_OLIMPIO_CAVALHEIRO_COHAB;RUA_DAVID_CORREIA_LEITE_S_N;COHAB;-20,53564;-54,62004
10294;50;500270;SESAU_USF_DR_ELIAS_NASSER_NETO_JOSE_ABRAO;RUA_ANTONIO_LOPES;JOSE_ABRAO;-20,41743;-54,66126
10308;50;500270;SESAU_USF_DR_JORGE_DAVID_NASSER_JOCKEY_CLUB;RUA_DO_HIPODROMO;JOCKEY_CLUB;-20,49498;-54,62366
10316;50;500270;SESAU_USF_DR_VICENTE_FRAGELLI_CIDADE_MORENA;RUA_JAGUARIUNA;CIDADE_MORENA;-20,55083;-54,58871
10324;50;500270;SESAU_UBS_DR_WILLIAN_MACKSOUD_ESTRELA_DO_SUL;RUA_HAMLET;ESTRELA_DO_SUL;-20,41771;-54,59613
10332;50;500270;SESAU_USF_SAO_FRANCISCO;RUA_IDA_BAIS;NOVA_LIMA;-20,38455;-54,55935
