CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO
16829;41;410690;UMS_BUTIATUVINHA_PSF;AVENIDA_MANOEL_RIBAS;SANTA_FELICIDADE
23078;31;310620;CENTRO_DE_SAUDE_GOIANIA;RUA_POMBA;GOIANIA
760;26;261160;US_161_CS_PROF_ROMERO_MARQUES;RUA_CARLOS_GOMES;BONGI
817;26;261160;US_149_CS_OLINTO_OLIVEIRA;RUA_FRANCISCO_DE_PAULA;CAXANGA
825;26;261160;US_155_CS_PROF_MONTEIRO_DE_MORAIS;AV_BEBERIBE;BEBERIBE
868;26;261160;US_142_CS_BIDU_KRAUSE;AV_ONZE_DE_AGOSTO;CURADO
876;26;261160;US_138_USF_DR_LUIZ_WILSOM;RUA_CHA_DE_ALEGRIA;BOMBA_DO_HEMETERIO
957;26;261160;US_174_USF_SITIO_GRANDE;AV_LUXEMBURGO;IMBIRIBEIRA
965;26;261160;US_177_USF_CHICO_MENDES;RUA_DO_CAMPO;AREIAS
1058;26;261160;US_121_CS_PROF_BRUNO_MAIA;RUA_ALTO_DO_REFUGIO;NOVA_DESCOBERTA
1082;26;261160;US_104_CS_SEBASTIAO_IVO_RABELO;AV_CAMPINA_GRANDE;COHAB
1090;26;261160;US_126_CS_VER_ROMILDO_GOMES;RUA_JALISCO;IMBIRIBEIRA
1112;26;261160;US_186_USF_JARDIM_UCHOA;RUA_JUPIRACY;AREIAS
1163;26;261160;US_109_CS_FRANCISCO_PIGNATARI;ESTRADA_DO_ARRAIAL;CASA_AMARELA
1201;29;293135;PSF_RESIDENCIAL_CASTELINHO;RUA;RESIDENCIAL_CASTELIN
1236;26;261160;US_152_CS_INA_ROSA_BORGES;RUA_SENADOR_MILTON_CAMPOS;VASCO_DA_GAMA
1244;26;261160;US_175_USF_DR_DIOGENES_CAVALCANTI;RUA_ALTO_DA_BRASILEIRA;NOVA_DESCOBERTA
1252;26;261160;US_218_USF_COQUE;RUA_GUAPIRAMA;ILHA_JOANA_BEZERRA
1317;26;261160;US_120_CS_MARIO_MONTEIRO_MELO;RUA_NOVA_DESCOBERTA;NOVA_DESCOBERTA
1368;26;261160;US_158_CS_PAM_CEASA;RODOVIA_BR_101SUL;CURADO
1392;26;261160;US_148_CS_DOM_MIGUEL_DE_LIMA_VALVERDE;RUA_FELICIANO_JOSE_DE_FARIAS;BOA_VIAGEM
1414;26;261160;US_117_CS_GASPAR_REGUEIRA_COSTA;RUA_PADRE_DIOGO_RODRIGUES;BARRO
23124;31;310620;CENTRO_DE_SAUDE_MARIVANDA_BALEEIRO;RUA_TRES_MIL_E_SETENTA_E_QUATRO;PAULO_VI
1503;26;261160;US_179_USF_ALTO_DO_CEU;RUA_CAPITAO_SALGUEIRO;PORTO_DA_MADEIRA
1511;26;261160;US_184_USF_VILA_UNIAO;RUA_NOVA_ALIANCA;IPUTINGA
1759;26;261160;US_103_CS_PROF_MARIO_RAMOS;RUA_OSCAR_DE_BARROS;CASA_AMARELA
1813;26;261160;US_112_CS_DR_JOSE_DUSTAN_CARVALHO_SOARES;AV_MAURICIO_DE_NASSAU;IPUTINGA
2046;26;261160;US_168_CTA_CENTRO_DE_TESTAGEM_E_ACONSELHAMENTO;LARGO_DA_SANTA_CRUZ;BOA_VISTA
2062;26;261160;US_172_USF_TRES_CARNEIROS;RUA_IBITIARA;COHAB
2070;26;261160;US_173_USF_DANCING_DAYS;RUA_DANCING_DAYS;IMBIRIBEIRA
2097;26;261160;US_183_USF_SITIO_DOS_MACACOS;ESTRADA_DOS_MACACOS;GUABIRABA
2100;26;261160;US_187_USF_ILHA_DE_DEUS;RUA_SAO_JOSE;IMBIRIBEIRA
2135;26;261160;US_221_USF_ILHA_DE_JOANEIRO;RUA_MARECHAL_DEODORO;CAMPO_GRANDE
2143;26;261160;US_123_CS_PROF_CESAR_MONTEZUMA;CAIS_DO_APOLO;RECIFE
2216;28;280030;US_OSVALDO_LEITE_TERRA_DURA;AV_AZUL;SANTA_MARIA
9407;35;354990;UBS_ALTO_DA_PONTE;RUA_ALZIRO_LEBRAO;ALTO_DA_PONTE
2615304;32;320495;UNIDADE_DE_SAUDE_DE_SAO_JACINTO;RUA_SEVERINO_SIMONASSI;SAO_JACINTO
2542;28;280030;US_JOAO_CARDOSO_NASCIMENTO_JUNIOR_JOSE_CONRADO_DE_ARAUJO;RUA_ALAGOAS;JOSE_CONRADO_DE_ARAU
2550;28;280030;US_ELIZABETE_PITA_TERRA_DURA;RUA_B;TERRA_DURA
2615312;32;320495;UNIDADE_DE_SAUDE_DE_SANTA_JULIA;RUA_PROJETADA;AGROVILA
2844;28;280030;US_ONESIMO_PINTO_FILHO_JARDIM_CENTENARIO;AVENIDA_RADIALISTA_JOSE_DA_SILVA_LIMA;JARDIM_CENTENARIO
3387;28;280030;US_RENATO_MAZZE_LUCAS_LAMARAO;RUA_CAPITAO_MANOEL_GOMES;SANTOS_DUMONT
3395;28;280030;US_CARLOS_HARDMAN_CORTES_SOLEDADE;AVENIDA_CARLOS_MARQUES;SOLEDADE
3047776;23;231135;UNIDADE_BASICA_DE_SAUDE_VITORIA_PEREIRA_DA_SILVA;SITIO_BOTAO;ZONA_RURAL
182036;21;210200;CENTRO_DE_ATENCAO_MUNICIPAL_COVID_19_BOM_JARDIM_MA;SAO_LUIS;CENTRO
3999;29;292740;UBS_MARIA_DA_CONCEICAO_SANTIAGO_IMBASSAY;RUA_MARQUES_DE_MARICA;PAU_MIUDO
4014;29;292740;USF_PROFESSOR_SABINO_SILVA;RUA_REINALDO_DE_MATOS;NORDESTE_AMARALINA
4022;29;292740;USF_PROF_EDUARDO_MAMEDE;SETOR_E_CAMINHO_16;MUSSURUNGA_I
4030;29;292740;UBS_RODRIGO_ARGOLO;RUA_PERNAMBUCO;TANCREDO_NEVES
4111;29;292740;UBS_SETE_DE_ABRIL;RUA_DA_FELICIA;SETE_DE_ABRIL
4243;29;292740;UBS_CASTELO_BRANCO;RUA_A_3_ETAPA;CASTELO_BRANCO
4332;29;292740;UBS_PIRES_DA_VEIGA;RUA_JAIME_VIEIRA_LIMA;PAU_DA_LIMA
4359;29;292740;UBS_OSVALDO_CALDAS_CAMPOS_SANTA_CRUZ;RUA_DR_ARMANDO_COLAVOLPE;SANTA_CRUZ
4383;29;292740;UBS_19_CENTRO_DE_SAUDE_PELOURINHO;AVENIDA_JJ_SEABRA;BAIXA_DOS_SAPATEIROS
4413;29;292740;UBS_DE_MATA_ESCURA;RUA_JARDIM_PAMPULHA;MATA_ESCURA
4448;29;292740;UBS_DO_CSU_PERNAMBUES;RUA_TOMAZ_GONZAGA;PERNAMBUES
4561;29;292740;USF_IVONE_SILVEIRA_CALABAR;RUA_MARIA_PINHO;CALABAR
4618;29;292740;USF_CAJAZEIRAS_X;RUA_MINISTRO_APOLONIO_SALES_RUA_D_QUADRA_D_SETOR_2;CAJAZEIRAS_X
4758;29;292740;UBS_DRA_CECY_DE_ANDRADE;RUA_GENARO_DE_CARVALHO;CASTELO_BRANCO
4766;29;292740;UBS_DR_CESAR_DE_ARAUJO;RUA_MANOEL_QUARESMA;BOCA_DO_RIO
4804;29;292740;UBS_DR_ORLANDO_IMBASSAHY;RUA_TANCREDO_NEVES;BAIRRO_DA_PAZ
4839;29;292740;UBS_PROF_JOSE_MARIANE;AV_DORIVAL_CAYME;ITAPOAN
8281;35;353440;UBS_MARIA_PIA_DE_OLIVEIRA;RUA_SATURNO;JAD_MAURINOPOLIS
5193;29;292740;USF_URSULA_CATHARINO_GARCIA;RUA_QUINTINO_BOCAIUVA;GARCIA
5207;29;292740;USF_DOM_AVELAR;RUA_DAS_PAULINAS;DOM_AVELAR
5223;29;292740;UBS_EUNISIO_COELHO_TEIXEIRA;RUA_JURUCUTUS;SABOEIRO
5231;29;292740;USF_DEP_CRISTOVAO_FERREIRA_SARAMANDAIA;RUA_DA_HORTA;SARAMANDAIA
5266;29;292740;USF_PARQUE_DE_PITUACU;RUA_ARAUJO_BASTOS;PITUACU
5282;29;292740;USF_CAJAZEIRAS_IV;RUA_ALVARO_DA_FRANCA_ROCHA_CONJ_CAJAZEIRAS_IV;CAJAZEIRAS
5347;29;292740;USF_ALTO_DO_COQUEIRINHO;PRACA_SERGIO_BRITO;ALTO_COQUEIRINHO
6416;29;292740;UBS_ARENOSO;RUA_DIRETA_DO_ARENOSO;ARENOSO
6769;29;292740;USF_ALTO_DE_COUTOS;TRAVESSA_DOIS_DE_JULHO;ALTO_DE_COUTOS
6777;29;292740;USF_JAQUEIRA_DO_CARNEIRO;RUA_JAQUEIRA_DO_CARNEIRO;FAZENDA_GRANDE_DO_RE
6785;29;292740;UBS_MARECHAL_RONDON;RUA_VICENTE_CELESTINO_PRACA_MARECHAL_RONDON;MARECHAL_RONDON
6793;29;292740;USF_NOSSA_SENHORA_DE_GUADALUPE_ALTO_DO_PERU;2_TRAVESSA_DO_ORIENTE;ALTO_DO_PERU
6815;29;292740;UBS_SAO_GONCALO;AVENIDA_CARDEAL_DA_SILVA;FEDERACAO
6858;29;292740;USF_FIAIS;RUA_VOLUNTARIOS_DA_PATRIA;SANTA_LUZIA_DO_LOBAT
6866;29;292740;USF_DO_ALTO_DAS_POMBAS;RUA_NOSSA_SENHORA_DE_FATIMA;FEDERACAO
6890;29;292740;USF_DE_BARREIRAS;RUA_FERNANDO_PEDREIRA;BARREIRAS
6912;29;292740;UBS_DE_CALABETAO;RUA_CLERISTON_ANDRADE;CALABETAO
6955;29;292740;USF_DE_BEIRA_MANGUE;AV_AFRANIO_PEIXOTO;SAO_BARTOLOMEU
6963;29;292740;USF_ILHA_AMARELA;RUA_BOA_ESPERANCA;ILHA_AMARELA
6971;29;292740;USF_ALTO_DO_CRUZEIRO;RUA_CAMPO_DA_BOLA;ALTO_DO_CRUZEIRO
6998;29;292740;UBS_DE_ENGOMADEIRA;RUA_DIRETA_DA_ENGOMADEIRA;ENGOMADEIRA
7021;29;292740;UBS_NELSON_PIAUHY_DOURADO;RUA_ENDEO_NASCIMENTO;AGUAS_CLARAS
639;26;261160;US_106_CS_PROF_JOAQUIM_CAVALCANTE;ESTRADA_DO_FORTE_DO_ARRAIAL_NOVO_DO_BOM_JESUS;TORROES
7676;15;150240;FUNASA_CENTRO_DE_SAUDE_DE_CASTANHAL;RUA_SENADOR_ANTONIO_LEMOS;CENTRO
2291;28;280030;US_GERALDO_MAGELA_DE_MENEZES_SAO_CONRADO;CENTRAL_IV;SAO_CONRADO
7722;15;150240;USF_MARIA_TEREZA_GODOT_DA_SILVA;RUA_AUGUSTO_MONTENEGRO;APEU
7730;15;150240;USF_CASTELO_BRANCO;AGROVILA_DE_CASTELO_BRANCO;AGROVILA_C_BRANCO
7749;15;150240;USF_RAIMUNDO_BRILHANTE_CUNHA;AGROVILA_SANTA_TEREZINHA;AGROVILA_STEREZINHA
7757;15;150240;USF_BACABAL;AGROVILA_BACABAL;AGROVILA_BACABAL
7765;15;150240;USF_FRANCISCO_CORREA;AGROVILA_FRANCISCO_CORREA;AGROVILA_F_CORREA
7773;15;150240;USF_JOAO_MARINALDO_A_VIANA;TV_DA_FLORESTA;SAUDADE
7781;15;150240;USF_JOSE_OLIMPIO_DE_BRITO;RUA_MARIA_GORETH;IANETAMA
7811;15;150240;USF_MACAPAZINHO;AGROVILA_MACAPAZINHO;AGROVILA_MACAPAZINHO
7846;15;150240;USF_SARAH_MARTINS;AV_BARAO_DO_RIO_BRANCO;APEU
7889;15;150240;USF_ZIULALIA_LEAO_LUNA;AL_DAS_ACACIAS;PROPIRA
7919;15;150240;USF_CALUCIA;AGROVILA_CALUCIA;AGROVILA_CALUCIA
7986;15;150240;USF_3_DE_OUTUBRO;AGROVILA_3_DE_OUTUBRO;AGROVILA_3DE_OUTUBRO
7978;15;150240;POSTO_DE_SAUDE_MARIO_NASCIMENTO_VENTURA;AGROVILA_PACUQUARA;AGROVILA_PAUQUARA
8095;35;353440;UBS_DARCY_ALVES_E_ROBALINHO;AVENIDA_SAO_JOSE;VIL_SAO_JOSE
8109;35;353440;UBS_SYLVIO_JOAO_L_DE_LUCIA;RUA_JOAO_FLORENCIO_FONTES;JARDIM_ELVIRA
8117;35;353440;UBS_MARIA_GIRADE_CURY;RUA_THEOFILO_MUNHOZ_VAQUEIRO;JD_NOVO_OSASCO
8125;35;353440;UBS_LUCIANO_RODRIGUES_COSTA;PRACA_MARIA_JOSE_DA_SILVEIRA;JAD_ROBERTO
8133;35;353440;UBS_VILA_MENCK;R_RIBEIRAO_PIRES;VIL_MENCK
8168;35;353440;UBS_MARIA_GATTI_GIGLIO;AV_DAS_FLORES;JD_DAS_FLORES
8176;35;353440;UBS_NEYDE_ALVES_DA_SILVA;RUA_AMEIXEIRA;CIDADE_DAS_FLORES
8206;35;353440;UBS_SANTA_MARIA_GORETTI;AV_ANALICE_SAKATAUSKAS;VIL_ALIANCA
8214;35;353440;UBS_JOSE_HILARIO_DOS_SANTOS;RUA_AMADOR_BUENO;JD_PIRATININGA
8222;35;353440;UBS_VASCO_DA_ROCHA_LEAO;RUA_JOSE_PATROCINIO;JAD_VELOSO
8230;35;353440;UBS_GETULINO_JOSE_DIAS;RUA_JOANA_PEREIRA_DIAS;PADROEIRA_II
8249;35;353440;UBS_ANUNCIATA_DE_LUCIA;RUA_SAO_JORGE;VIL_ISABEL
8257;35;353440;UBS_OTACILIO_FIRMINO_LOPES;RUA_GRANADA;VIL_NOVA_AYROSA
8265;35;353440;UBS_FRANCISCA_LIMA_DE_LIRA;RUA_JUSCELINO_KUBITSCHEK_DE_OLIVEIRA;PORTAL_DOESTE
8273;35;353440;UBS_PE_GUERRINO_RICIOTTI;RUA_SANTO_UBALDO;VIL_DOS_REMEDIOS
8303;35;353440;UBS_JOSE_FRANCISCO_REZENDE;RUA_CONCEICAO_SIGLIANO;VIL_YOLANDA
8311;35;353440;UBS_SANTA_GEMA_GALGANI;RUA_JOSE_ALBINO_FREIXEDA;PRES_ALTINO
8346;35;353440;UBS_FRANCISCO_DIAS_DA_SILVA;RUA_MAL_EDGAR_DE_OLIVEIRA;VIL_QUITAUNA
8362;35;353440;UBS_RAIMUNDA_CAVALCANTE_DE_SOUZA;RUA_PRF_ADELAIDE_ESCOBAR_BUENO;MUNHOZ_JR
8370;35;353440;UBS_JOSE_SABINO_FERREIRA;RUA_LUIS_GATTI;JD_BARONESA
8397;35;353440;UBS_ODUVALDO_MAGLIO;RUA_ANSELMO_PEDRO_DE_MEDEIROS;CAMPESINA
8400;35;353440;UBS_DR_ADAUTO_RIBEIRO;RUA_SERRA_DO_RONCADOR;JAD_TRES_MONTANHAS
8419;35;353440;UBS_LIA_BUARQUE_DE_MACEDO_GASPARINI;AVENIDA_CLOVIS_ASSAF;VILA_DA_CONQUISTA
8524;35;354780;UBS_PARANAPIACABA;AVENIDA_FFORD;PARANAPIACABA
2160846;31;310390;CEMADI_CENTRO_MUNICIPAL_DE_ATENDIMENTO_E_DIAG_ARAUJOS;RUA_JUIZ_DE_FORA;CENTRO
8575;35;354780;UBS_VILA_LINDA;RUA_INGA;VILA_LINDA
8583;35;354780;UBS_VILA_LUCINDA;RUA_CACONDE;VILA_LUCINDA
8591;35;354780;UBS_CAMPESTRE;RUA_DAS_FIGUEIRAS;CAMPESTRE
8621;35;354780;UBS_PARQUE_DAS_NACOES;PRACA_WALDEMAR_SOARES;PARQUE_DAS_NACOES
2491109;42;420380;UNIDADE_BASICA_DE_SAUDE_FELIPE_SCHMIDT;RUA_DA_COOPERATIVA;INTERIOR
8672;35;354780;UBS_PARQUE_JOAO_RAMALHO;RUA_MARAGOGIPE;PARQUE_JOAO_RAMALHO
2491117;42;420380;UNIDADE_BASICA_DE_SAUDE_PAULA_PEREIRA;RUA_GERAL_DE_PAULA_PEREIRA;INTERIOR
2491125;42;420380;UNIDADE_BASICA_DE_SAUDE_FARTURA;ESTRADA_GERAL_FARTURA;INTERIOR
2491133;42;420380;UNIDADE_BASICA_DE_SAUDE_ARROIOS;LOC_ARROIOS;INTERIOR
2491168;42;420380;UNIDADE_BASICA_DE_SAUDE_BARRA_MANSA;LOC_BARRA_MANSA;AREA_RURAL
2491192;42;420380;UNIDADE_BASICA_DE_SAUDE_PINHEIROS;LOCALIDADE_DE_RIO_DOS_PARDOS;RIO_DOS_PARDOS
2491230;42;420380;UNIDADE_BASICA_DE_SAUDE_PACIENCIA_DOS_NEVES;LOCALIDADE_DE_PACIENCIA_DOS_NEVES;PACIENCIA_DOS_NEVES
2527510;23;230810;UBS_ELIAS_PIMENTA_DE_SOUSA;RUA_GABRIEL_IZIDRO;DISTRITO_PALESTINA
2527537;23;230810;UBS_DR_JOSE_LEITE_MARANHAO;AVENIDA_BRASIL;COITE
2527545;23;230810;UBS_PARTEIRA_MARIA_DAS_DORES_DE_SOUSA;RUA_MANOEL_ROSENO;DISTRITO_ANAUA
8931;35;354780;UBS_JARDIM_ITAPOAN_ANA_MARIA;RUA_OTAVIO_MANGABEIRA;JARDIM_ANA_MARIA
8958;35;354780;UBS_CENTRO;RUA_CAMPOS_SALES;CENTRO
9032;35;354990;UBS_COLONIAL;RUA_JOSE_RIBEIRO_BASTOS;COLONIAL
9040;35;354990;UBS_NOVO_HORIZONTE;AVENIDA_TANCREDO_NEVES;PQ_NOVO_HORIZONTE
9059;35;354990;UBS_VILA_TESOURO;PRACA_ASSIS_CHATEAUBRIAND;VILA_TESOURO
9067;35;354990;UBS_BUQUIRINHA;RUA_JOSE_MENDONCA_DA_COSTA;BUQUIRINHA
9075;35;354990;UBS_CHACARAS_REUNIDAS;PRACA_CARIRI;CHACARAS_REUNIDAS
1694;26;261160;NEFROCLINICA_LTDA;RUA_ESTADO_DE_ISRAEL;ILHA_DO_LEITE
9156;35;354990;UBS_VILA_NAIR;RUA_SUECIA;VILA_LETONIA
9180;35;354990;UBS_BONSUCESSO;ESTRADA_DO_BONSUCESSO;BONSUCESSO
9199;35;354990;UBS_JARDIM_NOVA_DETROIT;RUA_JOSE_PEDRO;JARDIM_NOVA_DETROIT
9229;35;354990;UBS_JARDIM_ORIENTE;RUA_SENJU_OTA;JARDIM_ORIENTE
9377;35;354990;UBS_VILA_INDUSTRIAL_E_TATETUBA;RUA_MIZAEL_MARCAL;VILA_TATETUBA
9466;35;354990;UBS_PARAISO_DO_SOL;RUA_DR_JOAO_GOMES_BATISTA_NETO;PARAISO_DO_SOL
9474;35;354990;UBS_PARQUE_INTERLAGOS;RUA_IBIRAJARA_RAIMUNDO_DE_SOUZA;PARQUE_INTERLAGOS
9504;35;354990;UBS_SAO_JUDAS_TADEU;AVENIDA_SAO_NICOLAU;SAO_JUDAS_TADEU
26204;26;261160;US_256_USF_PASSARINHO_BAIXO;RUA_CANARIO;PASSARINHO
3015319;35;350660;AMBULATORIO_DE_ATENCAO_BIOPSICOSSOCIAL_DE_BIRITIBA_MIRIM;R_AIRTON_SENA_DA_SILVA;JARDIM_ALVORADA_A
10146;50;500270;SESAU_USF_DR_ADEMAR_GUEDES_DE_SOUZA_MATA_DO_JACINTO;RUA_WILSON_MANGINI_MARQUES;MATA_DO_JACINTO
10154;50;500270;SESAU_UBS_DR_ASTROGILDO_CARMONA_CARLOTA;RUA_SAO_COSME_E_DAMIAO_S_N;JARDIM_PAULISTA
10162;50;500270;SESAU_UBS_DR_IVAN_HIDELBRAND_DA_COSTA_BURITI;RUA_JOSE_SOARES_DE_ARAUJO;BURITI
10170;50;500270;SESAU_UBS_DR_VESPASIANO_BARBOSA_MARTINS_VILA_POPULAR;RUA_DALILA_SIQUEIRA;VILA_POPULAR
10189;50;500270;SESAU_UBS_DR_NICOLAU_FRAGELLI_LAR_DO_TRABALHADOR;RUA_DOS_NARCISOS;LAR_DO_TRABALHADOR
10197;50;500270;SESAU_USF_DR_SUMIE_IKEDA_RODRIGUES_SERRADINHO;RUA_DELMIRO_GOUVEIA;VILA_SERRADINHO
10200;50;500270;SESAU_USF_DR_HIROSE_ADANIA_BONANCA;RUA_JARDIM_SANTO_INACIO;BONANCA
10219;50;500270;SESAU_USF_MANOEL_SECCO_THOME_INDUBRASIL;RUA_JI_PARANA;INDUSTRIAL
10235;50;500270;SESAU_USF_DR_MILTON_KOJO_CHINEN_VILA_NASSER;RUA_ANTONIO_DE_MORAES_RIBEIRO;VILA_NASSER
43737;35;351100;PROJETO_JUPIA;LINHA_JUPIA;REASSENTAMENTO_PROJE
10286;50;500270;SESAU_USF_DR_OLIMPIO_CAVALHEIRO_COHAB;RUA_DAVID_CORREIA_LEITE_S_N;COHAB
10294;50;500270;SESAU_USF_DR_ELIAS_NASSER_NETO_JOSE_ABRAO;RUA_ANTONIO_LOPES;JOSE_ABRAO
10308;50;500270;SESAU_USF_DR_JORGE_DAVID_NASSER_JOCKEY_CLUB;RUA_DO_HIPODROMO;JOCKEY_CLUB
10316;50;500270;SESAU_USF_DR_VICENTE_FRAGELLI_CIDADE_MORENA;RUA_JAGUARIUNA;CIDADE_MORENA
10324;50;500270;SESAU_UBS_DR_WILLIAN_MACKSOUD_ESTRELA_DO_SUL;RUA_HAMLET;ESTRELA_DO_SUL
10332;50;500270;SESAU_USF_SAO_FRANCISCO;RUA_IDA_BAIS;NOVA_LIMA
10340;50;500270;SESAU_USF_DR_WALFRIDO_AZAMBUJA_ALVES_PEREIRA;RUA_FILOMENA_SEGUNDO_NASCIMENTO;JARDIM_MONUMENTO
10367;50;500270;SESAU_UBS_DR_CELSO_LACERDA_DE_AZEVEDO_PIONEIRA;RUA_ANA_LUIZA_DE_SOUZA;PIONEIRA
10413;50;500270;SESAU_USF_DR_SONI_LYDIA_SOUZA_WOLF_MACAUBAS;AVENIDA_DOS_CAFEZAIS;JARDIM_MACAUBAS
10421;50;500270;SESAU_USF_DRA_MARLY_ANNA_TATTON_BERG_G_PEREIRA_MARABA;RUA_TORQUARTO_NETO;JD_MARABA
10634;53;530010;UBS_1_PARANOA;QD_21_AREA_ESPECIAL_CONJUNTO_15;PARANOA
10642;53;530010;UBS_01_SAMAMBAIA;QS_408_AREA_ESPECIAL_01;SAMAMBAIA_NORTE
10650;53;530010;UBS_2_PLANALTINA;ENTRE_QUADRAS_1_10_AREA_ESPECIAL;PLANALTINA
10677;53;530010;UBS_03_SAMAMBAIA;QN_429_CONJUNTO_F_LOTE;SAMAMBAIA_NORTE
10685;53;530010;UBS_04_SAMAMBAIA;QN_512_CONJUNTO_2_LOTE;SAMAMBAIA_SUL
10707;53;530010;UBS_1_ASA_NORTE;SGAN;ASA_NORTE
10723;53;530010;UBS_2_ASA_NORTE;EQN_114_115;ASA_NORTE
10731;53;530010;UBS_1_CRUZEIRO;SHCES_QUADRA;CRUZEIRO_NOVO
10758;53;530010;UBS_2_CRUZEIRO;SRES_LOTE;CRUZEIRO_VELHO
10774;53;530010;UBS_02_SAMAMBAIA;QS_611_AREA_ESPECIAL;SAMAMBAIA_NORTE
10790;53;530010;UBS_1_SAO_SEBASTIAO;CENTRO_DE_MULTIPLAS_ATIVIDADES_CONJ;CENTRO
10820;53;530010;UBS_1_GAMA;EQ_6_12_AREAS_ESPECIAIS;SETOR_SUL_GAMA
10928;53;530010;UBS_02_TAGUATINGA;QND_LOTE_A_PRACA_DO_BICALHO;TAGUATINGA_NORTE
10960;53;530010;UBS_07_TAGUATINGA;QNM_36_AREA_ESPECIAL_N;TAGUATINGA_NORTE
10987;53;530010;UBS_2_CEILANDIA;QNN_15_LOTE_F;CEILANDIA_NORTE
10995;53;530010;UBS_3_CEILANDIA;QNM_15_LOTE_D_AREA_ESPECIAL;CEILANDIA_SUL
11002;53;530010;UBS_4_CEILANDIA;QNN;CEILANDIA_SUL
11010;53;530010;UBS_5_CEILANDIA;QNM_16_LOTE_F_AREA_ESPECIAL;CEILANDIA_NORTE
11029;53;530010;UBS_6_CEILANDIA;EQNP_10_14_LOTES_E_F_G_H;CEILANDIA
11037;53;530010;UBS_7_CEILANDIA;QNO_10_AREA_ESPECIAL_D_E;SETOR_O
11045;53;530010;UBS_8_CEILANDIA;EQNP_13_17_LOTES_A_B_C_D_P_NORTE;CEILANDIA_NORTE
11053;53;530010;UBS_9_CEILANDIA;EQNP_28_32_LOTES_A_B_C_D;CEILANDIA_SUL
11061;53;530010;UBS_11_CEILANDIA;EQNO_17_18_AREA_ESPECIAL;EXPSANSAO_SETOR_O
11096;53;530010;UBS_3_PLANALTINA;SETOR_HOSPITALAR_AREA_ESPECIAL_S_N;PLANALTINA
11118;53;530010;UBS_01_GUARA;QI_06_AREA_ESPECIAL_LT_A;GUARA_I
11126;53;530010;UBS_01_NUCLEO_BANDEIRANTE;3_AVENIDA_AREA_ESPECIAL_N_3;NUCLEO_BANDEIRANTE
11134;53;530010;UBS_02_RECANTO_DAS_EMAS;QUADRA_102_AREA_ESPECIAL;RECANTO_DAS_EMAS
11150;53;530010;UBS_01_ASA_SUL;SGAS_QUADRA_612_LOTES;ASA_SUL
11169;53;530010;UBS_01_RIACHO_FUNDO_I;QN_07_AREA_ESPECIAL_09_RIACHO_FUNDO_I;RIACHO_FUNDO
11177;53;530010;UBS_1_LAGO_NORTE;SHIN_QI_3;LAGO_NORTE
11185;53;530010;UBS_01_CANDANGOLANDIA;EQ_5_7_AREA_ESPECIAL_CANDANGOLANDIA;CANDANGOLANDIA
11207;53;530010;UBS_10_CEILANDIA;QNN_12_AREA_ESPECIAL_1;CEILANDIA_SUL
11215;53;530010;UBS_1_BRAZLANDIA;ENTRE_QUADRA_6_8_AREA_ESPECIAL_3_SETOR_NORTE;SETOR_NORTE
11258;53;530010;UBS_1_SOBRADINHO_II;AR_13_AREA_ESPECIAL_CONJUNTO_7_LOTE;SOBRADINHO_II
11266;53;530010;UBS_02_GUARA;QE_23_AREA_ESPECIAL;GUARA_II
